Node Number	Shear Stress (MPa)
360	-2.4025e-002
361	4.9183e-002
362	8.0957e-002
363	5.2355e-002
364	5.5606e-002
365	3.5446e-002
366	1.0967e-003
367	-1.0662e-002
368	-2.8933e-002
369	-4.5364e-002
370	-1.6476e-002
371	-6.7526e-002
372	-9.0333e-002
373	-0.15215
374	-0.17692
375	-0.12327
376	-0.14594
377	-0.1919
378	-0.28179
379	-0.3823
380	-0.33367
381	-0.21795
382	-0.36689
383	-0.37469
384	-0.45247
385	-0.49394
386	-0.46038
387	-0.32084
388	-0.42391
389	-0.52887
390	-0.72421
391	-0.59574
392	-0.68587
393	-0.53456
394	-0.81707
395	-2.828
396	-3.424
397	-3.4333
398	-3.4241
399	-3.2804
400	-3.146
401	-2.8967
402	-2.4977
403	-1.8448
404	0.35425
405	0.28552
406	0.18571
407	0.16134
408	0.10465
409	7.5518e-002
410	2.3547e-002
411	-2.5969e-002
412	-4.9069e-002
413	-5.0788e-002
414	-0.13007
415	-0.13308
416	-0.28797
417	-0.23746
418	-0.28262
419	-0.22262
420	-0.25087
421	-0.3603
422	-0.37058
423	-0.41589
424	-0.36781
425	-0.43946
426	-0.41233
427	-0.39176
428	-0.46287
429	-0.48119
430	-0.69992
431	-0.67281
432	-0.47713
433	-0.50498
434	-0.9367
435	-0.89797
436	-1.183
437	-0.97239
438	-0.73355
439	-0.59672
440	-0.3984
441	-0.52645
442	-0.3448
443	-0.29228
444	-0.35279
445	-0.30833
446	-0.30851
447	-0.20889
448	6.6542
449	4.2843
450	2.9314
451	2.9372
452	2.3095
453	2.7976
454	1.4638
455	1.3792
456	1.267
457	1.3033
458	1.379
459	1.2502
460	1.1708
461	0.85048
462	0.71321
463	0.6281
464	0.50773
465	0.40964
466	0.3327
467	0.27596
468	9.2191e-002
469	-4.4612e-002
470	-0.24901
471	-0.3915
472	-0.53116
473	-0.73684
474	-0.93748
475	-1.0795
476	-0.91329
477	-0.94578
478	-1.092
479	-1.4434
480	-1.4409
481	-1.1253
482	-2.5447
483	-1.4138
484	-0.92368
485	-0.63719
486	-0.50882
487	-0.57156
488	-0.67917
489	-0.68545
490	-0.55246
491	-0.58451
492	-0.53851
493	-0.5764
494	-0.54193
495	-0.53554
496	-0.52822
497	-0.54264
498	-0.62966
499	-0.52142
500	-0.49232
501	-0.63352
502	-0.47661
503	-0.47424
504	-0.47694
505	-0.60221
506	-0.59084
507	-0.61821
508	-0.51725
509	-0.41567
510	-0.43351
511	-0.43785
512	-0.36399
513	-0.24479
514	-0.10611
515	0.41434
516	-2.0474e-002
517	0.25095
518	0.24162
519	0.2009
520	0.14432
521	0.20962
522	0.13026
523	0.1321
524	0.18268
525	0.13182
526	8.8754e-002
527	0.13599
528	7.8133e-002
529	6.255e-002
530	0.1039
531	6.235e-002
532	5.404e-002
533	6.5044e-002
534	4.6189e-002
535	3.8896e-002
536	2.9885e-002
