Node Number	Shear Stress (Pa)
315	-1.9676e+006
316	-1.5734e+006
317	-1.0763e+006
318	-4.6023e+005
319	1.3851e+005
320	7.58e+005
321	1.3487e+006
322	1.8413e+006
323	2.2104e+006
324	2.4521e+006
325	2.3924e+006
326	2.3582e+006
327	2.0029e+006
328	2.1368e+006
329	-2.751e+006
330	-2.116e+005
331	2.2892e+005
332	3.657e+005
333	6.5109e+005
334	6.8038e+005
335	6.1551e+005
336	5.0796e+005
337	6.2004e+005
338	34538
339	1.6069e+006
340	1.2146e+006
341	5.5134e+005
342	1.9513e+005
343	-14115
344	-2.8296e+005
345	-3.1248e+005
346	-3.3087e+005
347	-1.7616e+005
348	56708
349	3.4259e+005
350	7.1487e+005
351	9.392e+005
352	1.0681e+006
353	1.1663e+006
354	9.052e+005
355	9.5841e+005
356	2.7085e+005
357	-6.5368e+005
358	-1.6122e+006
359	9.9509e+006
360	1.5865e+006
361	1.1713e+006
362	2.3233e+006
363	2.7969e+006
364	3.6138e+006
365	3.9739e+006
366	5.1972e+006
367	6.1153e+006
368	7.6912e+006
369	9.3773e+006
370	1.2006e+007
371	1.2989e+007
372	1.5089e+007
373	1.6656e+007
374	1.8694e+007
375	2.0622e+007
376	2.2608e+007
377	2.3799e+007
378	2.4855e+007
379	2.562e+007
380	2.6e+007
381	2.624e+007
382	2.6048e+007
383	2.5652e+007
384	2.4643e+007
385	2.3919e+007
386	2.2359e+007
387	2.1475e+007
388	1.9966e+007
389	1.8137e+007
390	1.6915e+007
391	1.4841e+007
392	1.3609e+007
393	1.1754e+007
394	-1.18e+007
395	-1.0363e+007
396	-8.927e+006
397	-6.962e+006
398	-5.2054e+006
399	-3.2377e+006
400	-1.2162e+006
401	1.392e+006
402	4.3324e+006
403	7.7186e+006
404	-3.434e+006
405	-4.34e+006
406	-5.37e+006
407	-7.0862e+006
408	-8.5513e+006
409	-1.0082e+007
410	-1.1862e+007
411	-1.3437e+007
412	-1.5752e+007
413	-1.7708e+007
414	-2.0321e+007
415	-2.2866e+007
416	-2.5352e+007
417	-2.7989e+007
418	-3.0417e+007
419	-3.306e+007
420	-3.5451e+007
421	-3.7688e+007
422	-3.921e+007
423	-4.0313e+007
424	-4.1562e+007
425	-4.1745e+007
426	-4.2499e+007
427	-4.1769e+007
428	-4.1641e+007
429	-3.9963e+007
430	-3.9355e+007
431	-3.6972e+007
432	-3.5422e+007
433	-3.2007e+007
434	-2.9522e+007
435	-2.6023e+007
436	-2.1749e+007
437	-1.6384e+007
438	-8.2479e+006
439	-5.7725e+006
440	-3.4105e+006
441	-1.7786e+006
442	-1.7879e+006
443	8.507e+006
444	6.8039e+006
445	5.0853e+006
446	3.3975e+006
447	2.5242e+006
448	-1.2951e+006
449	-1.4336e+006
450	-1.5049e+006
451	-1.5414e+006
452	-1.409e+006
453	-7.431e+005
454	-1.0142e+006
455	-5.2335e+005
456	-1.812e+005
457	2.7426e+005
458	7.6238e+005
459	1.325e+006
460	1.3533e+006
461	1.7971e+006
462	2.1373e+006
463	3.2817e+006
464	3.3618e+006
465	3.633e+006
466	4.6914e+006
467	4.8769e+006
468	4.4845e+006
469	5.4935e+006
470	3.8497e+006
471	4.4959e+006
472	3.5719e+006
473	4.0684e+006
474	3.1104e+006
475	4.2703e+006
476	3.6919e+006
477	3.4306e+006
478	3.469e+006
479	3.4764e+006
480	2.5911e+006
481	2.9473e+006
482	2.6034e+006
483	2.2177e+006
484	2.508e+006
485	2.1624e+006
486	1.4927e+006
487	1.1288e+006
488	8.5314e+005
489	3.9937e+005
490	41101
491	-4.0187e+005
492	-8.2352e+005
493	-1.184e+006
494	-1.5959e+006
495	-2.0591e+006
496	-2.0568e+006
497	-3.3523e+006
498	-3.2891e+006
499	-3.8941e+006
500	-4.0457e+006
501	-4.3465e+006
502	-4.0687e+006
503	-3.9254e+006
504	-4.5138e+006
505	-5.5422e+006
506	-4.8293e+006
507	-5.4475e+006
508	-4.0883e+006
509	-4.4367e+006
510	-3.9398e+006
511	-5.4214e+006
512	-4.5154e+006
513	-4.3277e+006
514	-4.8504e+006
515	-4.8934e+006
516	4.0657e+006
517	1.7987e+006
518	1.1648e+006
519	2.2292e+005
520	72848
521	-4.8145e+005
522	-1.2229e+006
523	-1.5491e+006
524	-1.9874e+006
525	-2.3524e+006
526	-2.7818e+006
527	-3.1521e+006
528	-3.5372e+006
529	-3.8145e+006
530	-4.0973e+006
531	-4.3437e+006
532	-4.4646e+006
533	-4.5493e+006
534	-4.5934e+006
535	-4.5291e+006
536	-4.4149e+006
537	-4.2056e+006
538	-3.9973e+006
539	-3.6224e+006
540	-3.265e+006
541	-2.9653e+006
542	-2.4268e+006
543	-1.9554e+006
544	-1.357e+006
545	-9.799e+005
546	-1.8106e+005
547	5.4764e+005
548	7.3188e+005
549	1.8192e+006
550	2.6e+006
551	-7.4981e+006
552	-9.393e+006
553	-1.1952e+007
554	-1.517e+007
555	-1.6901e+007
556	-1.7507e+007
557	-1.5115e+007
558	-1.2846e+007
559	-8.9667e+006
560	-5.2247e+006
561	6.7252e+006
562	3.9609e+006
563	3.2393e+006
564	2.6078e+006
565	2.2015e+006
566	1.4251e+006
567	1.5586e+006
568	9.6155e+005
569	6.5438e+005
570	2.162e+005
571	-4.616e+005
572	-6.7773e+005
573	-1.1421e+006
574	-2.1378e+006
575	-2.1089e+006
576	-2.9526e+006
577	-3.2653e+006
578	-2.7978e+006
579	-3.9665e+006
580	-4.3018e+006
581	-4.0971e+006
582	-4.3727e+006
583	-3.6643e+006
584	-4.8948e+006
585	-5.0678e+006
586	-4.0406e+006
587	-5.4084e+006
588	-4.8971e+006
589	-4.6044e+006
590	-4.4164e+006
591	-5.4333e+006
592	-5.0891e+006
593	-3.9173e+006
594	-5.1987e+006
595	-5.6402e+006
596	-2.4705e+007
597	-2.4291e+007
598	-1.2438e+007
599	-3.5826e+006
600	6.0057e+006
601	1.1863e+007
602	1.5331e+007
603	1.8464e+007
604	1.7953e+007
605	1.7276e+007
606	1.6625e+007
607	1.4815e+007
608	1.0723e+007
609	-1.1833e+007
610	-1.004e+007
611	-9.0761e+006
612	-9.3957e+006
613	-1.0272e+007
614	-1.105e+007
615	-1.1978e+007
616	-1.3438e+007
617	-1.4671e+007
618	-1.5559e+007
619	-1.8476e+007
620	-1.9478e+007
621	-2.0938e+007
622	-2.2958e+007
623	-2.4352e+007
624	-2.5723e+007
625	-2.6903e+007
626	-2.8124e+007
627	-2.9768e+007
628	-2.9342e+007
629	-3.0466e+007
630	-3.0347e+007
631	-3.1038e+007
632	-3.026e+007
633	-2.9553e+007
634	-2.9192e+007
635	-2.8462e+007
636	-2.7126e+007
637	-2.6111e+007
638	-2.5414e+007
639	-2.4425e+007
640	-2.3711e+007
641	-2.2834e+007
642	-2.4632e+007
643	-2.5262e+007
644	5.6836e+006
645	7.3051e+006
646	8.3926e+006
647	6.9139e+006
648	5.0785e+006
649	2.1936e+006
650	-1.363e+006
651	-5.9672e+006
652	-9.0829e+006
653	-1.3075e+007
654	-1.3582e+007
655	-1.2931e+007
656	-1.5425e+007
657	-1.5591e+007
658	-1.7327e+007
659	-1.2172e+007
660	-1.0278e+007
661	-9.673e+006
662	-8.7973e+006
663	-7.1137e+006
664	-6.6326e+006
665	-3.4787e+006
666	-1.2963e+006
667	-7.1041e+005
668	-6.0725e+005
669	-1.3635e+006
670	2.4707e+007
671	2.5893e+007
672	2.093e+007
673	1.9276e+007
674	2.4357e+007
675	1.8537e+007
676	1.7193e+007
677	1.3725e+007
678	7.4576e+006
679	7.0624e+006
680	2.9285e+006
681	-1.8925e+006
682	-6.5759e+006
683	-1.2589e+007
684	-1.3309e+007
685	-1.868e+007
686	-2.5717e+007
687	-2.5772e+007
688	-2.7201e+007
689	-2.996e+007
690	-4.1908e+007
691	-3.3024e+007
692	-3.2886e+007
693	-3.7412e+007
694	-3.8673e+007
695	-3.3109e+007
696	-3.3136e+007
697	-2.9821e+007
698	-3.6617e+007
699	-2.8096e+007
700	-2.7982e+007
701	-2.5457e+007
702	-2.3324e+007
703	-2.2368e+007
704	-1.7666e+007
705	-7.3232e+005
706	1.0899e+006
707	2.0037e+006
708	2.2047e+006
709	6.2949e+006
710	9.1711e+006
711	8.0261e+006
712	1.1264e+007
713	1.1971e+007
714	1.3964e+007
715	1.5606e+007
716	1.4402e+007
717	1.6782e+007
718	1.7296e+007
719	1.8366e+007
720	1.8286e+007
721	1.6048e+007
722	-1.0684e+007
723	-1.7415e+007
724	-2.3081e+007
725	-2.7701e+007
726	-5.6787e+006
727	-5.9893e+006
728	-6.3995e+006
729	-7.2225e+006
730	-8.7084e+006
731	-7.9104e+006
732	-1.0041e+007
733	-1.1094e+007
734	-1.3899e+007
735	-1.1928e+007
736	-1.4499e+007
737	-1.3656e+007
738	-1.496e+007
739	-1.4573e+007
740	-1.7602e+007
741	-1.7979e+007
742	-1.8161e+007
743	-1.7086e+007
744	-2.1369e+007
745	-1.7335e+007
746	-1.8731e+007
747	-1.4705e+007
748	-1.4842e+007
749	-1.1003e+007
750	-7.5457e+006
751	-6.7578e+006
752	-4.5167e+006
753	-2.7444e+006
754	6.6708e+005
755	1.7985e+006
756	3.6997e+006
757	6.5127e+006
758	5.9414e+006
759	8.2368e+006
760	5.2337e+006
761	-4.3748e+006
762	-6.9492e+006
763	-8.1574e+006
764	-9.1313e+006
765	6.2234e+006
766	5.5585e+006
767	6.0563e+006
768	5.2342e+006
769	6.0191e+006
770	4.0885e+006
771	3.9787e+006
772	2.0786e+006
773	1.7618e+006
774	-1.3251e+006
775	-1.5511e+006
776	-2.54e+006
777	-3.9663e+006
778	1.3902e+006
779	2.1969e+006
780	2.6552e+006
781	3.0744e+006
782	-1.32e+006
783	-6.9545e+005
784	-4.9286e+005
785	-3.2714e+005
786	1.8199e+005
787	7.6641e+005
788	1.7205e+006
789	1.4968e+006
790	2.0403e+006
791	2.6661e+006
792	2.3949e+006
793	2.4248e+006
794	2.7358e+006
795	2.2346e+006
796	2.19e+006
797	2.1672e+006
798	1.4575e+006
799	1.7843e+006
800	1.1352e+006
801	1.3166e+006
802	1.2001e+006
803	1.7143e+006
804	1.586e+006
805	2.3911e+006
806	2.4182e+006
807	2.9512e+006
808	3.7272e+006
809	4.4974e+006
810	3.399e+006
811	6.1849e+006
812	5.4635e+006
813	5.9014e+006
814	5.0422e+006
815	6.3577e+006
816	-9.0549e+006
817	-2.7569e+007
818	-1.4118e+007
819	-3.7827e+007
820	-2.1932e+007
821	-3.88e+007
822	-2.9825e+007
823	-3.0533e+007
824	-2.7236e+007
825	-2.045e+007
826	-1.4597e+007
827	-1.1211e+007
828	-1.0047e+007
829	-4.7287e+006
830	-1.0358e+007
831	-8.2283e+006
832	-8.1304e+006
833	-9.2217e+006
834	-8.0291e+006
835	-7.0736e+006
836	-5.9374e+006
837	1.8756e+006
838	6.0595e+006
839	8.6883e+006
840	8.3538e+006
841	9.3075e+006
842	1.2293e+007
843	1.2579e+007
844	5.0454e+006
845	3.055e+006
846	1.9547e+006
847	-2.6978e+005
848	-1.3378e+006
849	-1.0372e+006
850	-1.6604e+006
851	-7.2343e+005
852	9.5179e+005
853	2.3216e+006
854	4.5918e+006
855	3.1392e+006
856	3.3543e+006
857	3.569e+006
858	-5.5548e+005
859	-68995
860	-3.6389e+006
861	-2.3204e+006
862	-2.3752e+006
863	-1.1398e+006
864	-3952.7
865	4.7475e+005
866	-4.8186e+005
867	-6.2846e+005
868	-2.0616e+006
869	-3.3171e+006
870	-3.6492e+006
871	-4.2162e+006
872	-4.1205e+006
873	-1.8247e+007
874	-1.7647e+007
875	-1.1903e+007
876	-6.0762e+006
877	4.0107e+006
878	1.3773e+007
879	1.8849e+007
880	2.2674e+007
881	2.0563e+007
882	2.3102e+007
883	2.0843e+007
884	2.0602e+007
885	1.5733e+007
886	1.5365e+007
887	1.286e+007
888	-7.4423e+006
889	-1.1908e+007
890	-6.9497e+006
891	-1.0875e+005
892	-2.0526e+006
893	-1.1985e+007
894	-1.6478e+007
895	-1.8159e+007
896	-2.4844e+007
897	-1.2893e+007
898	-1.1388e+006
899	-1.2413e+006
900	-9.3201e+006
901	-8.9266e+006
902	-3.74e+006
903	-9.4495e+006
904	-1.1145e+007
905	-4.2175e+006
906	1.5463e+005
907	-7.5642e+006
908	-1.7737e+007
909	-6.7012e+006
910	-1.689e+007
911	-1.0804e+007
912	-8.2923e+006
913	-1.1748e+006
914	-2.7481e+006
915	-1.3534e+007
916	-2.1138e+007
917	-2.1664e+007
918	-8.9501e+006
919	-4.421e+005
920	-3.995e+006
921	-1.2118e+007
922	-8.9719e+006
923	-4.0914e+006
924	-5.1847e+005
925	-7.2083e+006
926	-1.8714e+007
927	-1.5975e+007
928	-3.1332e+006
929	-1.084e+006
930	-6.8384e+006
931	1.8374e+007
932	3.4158e+007
933	5.4105e+007
934	6.5559e+007
935	4.5686e+007
936	2.2909e+007
937	-6.2054e+006
938	-2.2189e+007
939	-1.6077e+007
940	-7.0526e+006
941	-1.6508e+005
942	1.0037e+006
943	9.5529e+006
944	1.6732e+007
945	1.5944e+007
946	1.4032e+007
947	6.7167e+006
948	-1.2558e+006
949	-2.2446e+006
950	-1.3465e+005
951	3.7128e+006
952	4.8582e+006
953	1.8898e+006
954	5.4022e+006
955	5.1057e+007
956	6.0344e+007
957	3.3353e+007
958	9.8397e+006
959	-1.1366e+007
960	-1.4647e+007
961	-1.0661e+007
962	-2.8165e+006
963	1.4267e+007
964	1.6543e+006
965	1.1676e+007
966	2.9583e+007
967	3.3223e+007
968	3.0174e+007
969	1.5056e+007
970	-7.7148e+005
971	-9.374e+006
972	-1.0341e+007
973	-4.0101e+006
974	5.1216e+005
975	2.2051e+007
976	2.1105e+007
977	1.3091e+007
978	2.0988e+006
979	-4.7279e+006
980	-4.8385e+006
981	-3.7808e+005
982	1.5978e+006
