Node Number	Normal Stress (Pa)
350	79717
351	95755
352	1.4877e+005
353	1.0472e+005
354	90165
355	-80596
356	1.287e+005
357	33541
358	-79527
359	-2.6927e+005
360	-1.2444e+006
361	-1.6812e+006
362	-1.1282e+006
363	-1.0184e+006
364	-1.3227e+006
365	-1.4996e+006
366	-1.0912e+006
367	-2.4062e+006
368	-1.2667e+006
369	-1.3126e+006
370	-1.3577e+006
371	-1.4395e+006
372	-1.0067e+006
373	-2.1935e+006
374	-1.2034e+006
375	-9.739e+005
376	-1.4154e+006
377	-1.3222e+006
378	-1.1129e+006
379	-1.767e+006
380	-1.2305e+006
381	-8.677e+005
382	-1.3427e+006
383	-1.142e+006
384	-1.6843e+006
385	-1.3234e+006
386	-1.0447e+006
387	-9.1447e+005
388	-1.0637e+006
389	-4.8682e+005
390	-1.4497e+006
391	-8.0324e+005
392	-1.2237e+006
393	-1.0306e+006
394	4.7224e+005
395	2.8931e+006
396	1.0478e+006
397	-1.8338e+006
398	-5.647e+006
399	-8.0225e+006
400	-8.7745e+006
401	-7.5544e+006
402	-5.1092e+006
403	-3.187e+006
404	1.3303e+006
405	1.0658e+006
406	4.2639e+005
407	8.8053e+005
408	6.8884e+005
409	9.723e+005
410	9.335e+005
411	6.7641e+005
412	4.589e+005
413	7.8793e+005
414	9.4917e+005
415	7.773e+005
416	5.5717e+005
417	5.6003e+005
418	7.4821e+005
419	7.4109e+005
420	1.1295e+006
421	7.9345e+005
422	7.5207e+005
423	4.6055e+005
424	8.209e+005
425	4.3355e+005
426	1.2613e+006
427	5.4239e+005
428	1.2646e+006
429	5.8773e+005
430	9.2374e+005
431	6.3718e+005
432	1.1201e+006
433	6.1151e+005
434	1.1451e+006
435	5.2539e+005
436	7.6927e+005
437	9.2415e+005
438	3.9001e+005
439	-41191
440	5.8486e+005
441	77164
442	1.082e+006
443	16290
444	2.9294e+005
445	-2.0797e+005
446	4.0167e+005
447	78538
448	-1.2266e+006
449	-1.5458e+006
450	-1.163e+006
451	-8.0958e+005
452	-1.3414e+006
453	-1.342e+006
454	-7.365e+005
455	-1.6401e+006
456	-1.322e+006
457	-7.3801e+005
458	-1.6313e+006
459	-9.342e+005
460	-1.4176e+006
461	-1.9279e+006
462	-1.8754e+006
463	-1.0721e+006
464	-1.3367e+006
465	-1.1411e+006
466	-1.037e+006
467	-1.4945e+006
468	-2.0524e+006
469	-7.2787e+005
470	-1.5894e+006
471	-1.261e+006
472	-2.3177e+006
473	-1.3327e+006
474	-2.2454e+006
475	-9.4219e+005
476	-1.3987e+006
477	-1.5618e+006
478	-1.6772e+006
479	-6.2465e+005
480	-1.683e+006
481	-1.7033e+006
482	1.3969e+006
483	1.4027e+006
484	5.9984e+005
485	1.0975e+006
486	5.9789e+005
487	1.1482e+006
488	8.3896e+005
489	9.6674e+005
490	6.0571e+005
491	7.4819e+005
492	6.6272e+005
493	6.0275e+005
494	7.0137e+005
495	6.7606e+005
496	9.8968e+005
497	9.0117e+005
498	1.0504e+006
499	3.3723e+005
500	8.118e+005
501	7.865e+005
502	6.3154e+005
503	7.4474e+005
504	9.7759e+005
505	4.936e+005
506	9.7658e+005
507	8.1355e+005
508	9.5433e+005
509	2.432e+005
510	5.3735e+005
511	1.2044e+006
512	1.1704e+006
513	8.3047e+005
514	1.1284e+006
515	9.9563e+005
516	1.0183e+005
517	-3.5678e+005
518	44906
519	-45145
520	19243
521	-1.7941e+005
522	17392
523	-16450
524	-1.3326e+005
525	39829
526	-2389.1
527	-74586
528	7422.7
529	9073.
530	-1300.
531	8004.9
532	29392
533	32205
534	-15442
535	-474.5
536	-304.44
537	29657
538	-29348
539	-21176
540	-3232.9
541	-22503
542	-65088
543	-10603
544	53929
545	-1.6963e+005
546	-1.1399e+005
547	1.0519e+005
548	-2.5733e+005
549	-98521
550	-2.3642e+005
551	87241
552	-2.155e+005
553	-23512
554	-3.7339e+005
555	-6.553e+005
556	-1.2476e+005
557	-5.0281e+005
558	-3.0802e+005
559	-2.4526e+005
560	-2.942e+005
561	51299
562	-2.5462e+005
563	-1.2742e+005
564	98745
565	-71356
566	-2.8764e+005
567	-4063.6
568	1.4466e+005
569	-3.7547e+005
570	31373
571	27009
572	-5.2248e+005
573	-33883
574	-3.3956e+005
575	-5.6214e+005
576	50787
577	2.4698e+005
578	-1.6261e+005
579	-6.9329e+005
580	51308
581	1.04e+005
582	1.9729e+005
583	4.3494e+005
584	-5.0951e+005
585	4.1908e+005
586	72898
587	2.8319e+005
588	6.8552e+005
589	4.8771e+005
590	3.389e+005
591	-4.3421e+005
592	2.9497e+005
593	4.6153e+005
594	-2.9304e+005
595	1.4849e+005
596	-1.2581e+005
597	-1.0818e+006
598	-8.2506e+005
599	-2.6773e+005
600	-6.4826e+005
601	-6.0731e+005
602	1.9684e+005
603	-2.1827e+005
604	-2.204e+005
605	-3.9326e+005
606	-5.9875e+005
607	2.963e+005
608	-3.974e+005
609	32951
610	33534
611	44022
612	24819
613	1.7766e+005
614	40331
615	-88270
616	5.3272e+005
617	-1.2013e+005
618	8737.7
619	2.1922e+005
620	-4.0261e+005
621	-4.8567e+005
622	98996
623	-3.0724e+005
624	33760
625	-2.7286e+005
626	-2.4745e+005
627	2.2665e+005
628	-4.6979e+005
629	-97105
630	-2.9477e+005
631	-38434
632	-93480
633	-4.4273e+005
634	8414.
635	1.7931e+005
636	-1.9167e+005
637	-5.8637e+005
638	3.384e+005
639	-2.952e+005
640	2.4342e+005
641	-4.0212e+005
642	1.639e+005
643	-4.0881e+005
644	-2.5618e+005
645	-47581
646	-4.2539e+005
647	-1.9545e+005
648	-4.6624e+005
649	-33149
650	-4.1012e+005
651	-4.4856e+005
652	-43694
653	-2.7663e+005
654	-4.0537e+005
655	-13147
656	-5.7281e+006
657	-1.5339e+006
658	3.3464e+006
659	6.2907e+006
660	8.1967e+006
661	1.0305e+007
662	1.4993e+007
663	1.2197e+007
664	1.7994e+007
665	1.5239e+007
666	-2.5348e+006
667	-2.245e+006
668	-1.7204e+006
669	-6.5123e+005
670	1.2676e+007
671	1.0804e+007
672	1.1551e+007
673	1.2374e+007
674	1.1563e+007
675	1.5821e+007
676	1.5118e+007
677	1.5402e+007
678	1.8261e+007
679	1.7533e+007
680	2.0849e+007
681	2.1046e+007
682	1.9229e+007
683	1.766e+007
684	2.6165e+007
685	2.2174e+007
686	1.4427e+007
687	1.3518e+007
688	1.0866e+007
689	7.9873e+006
690	2.6232e+006
691	1.1818e+006
692	-1.7221e+006
693	-5.0142e+006
694	-8.1721e+006
695	-8.7099e+006
696	-1.0973e+007
697	-1.2722e+007
698	-1.3777e+007
699	-1.1709e+007
700	-1.2332e+007
701	-1.2595e+007
702	-9.9516e+006
703	-9.6634e+006
704	-7.1768e+006
705	6.6754e+006
706	2.1786e+006
707	5.4755e+005
708	-2.1659e+005
709	1.7134e+007
710	2.5143e+007
711	2.607e+007
712	2.8067e+007
713	3.2333e+007
714	3.6414e+007
715	2.8918e+007
716	2.9942e+007
717	2.6805e+007
718	2.6313e+007
719	2.5363e+007
720	1.8621e+007
721	1.7931e+007
722	1.0175e+007
723	3.7395e+006
724	1.4306e+005
725	-91677
726	-5.4074e+006
727	-8.9983e+006
728	-8.499e+006
729	-9.5834e+006
730	-1.0155e+007
731	-1.2237e+007
732	-1.4824e+007
733	-1.4674e+007
734	-1.5027e+007
735	-1.2092e+007
736	-1.082e+007
737	-9.9917e+006
738	-4.2529e+006
739	-1.802e+006
740	7.238e+005
741	4.7531e+006
742	7.9939e+006
743	1.1614e+007
744	1.1587e+007
745	1.7995e+007
746	1.8846e+007
747	2.696e+007
748	1.8602e+007
749	2.1654e+007
750	2.1784e+007
751	1.7981e+007
752	2.1725e+007
753	2.1842e+007
754	1.9589e+007
755	2.0193e+007
756	2.0878e+007
757	1.7442e+007
758	2.0189e+007
759	1.4986e+007
760	1.7399e+007
761	-2.4652e+006
762	-2.3634e+006
763	-1.436e+006
764	-5.8558e+005
765	7.4993e+006
766	7.606e+006
767	1.238e+007
768	1.0257e+007
769	1.1274e+007
770	1.1769e+007
771	1.0403e+007
772	9.3565e+006
773	9.2725e+006
774	8.9846e+006
775	5.0365e+006
776	2.7778e+006
777	-2.3527e+006
778	4.3414e+006
779	2.1397e+006
780	9.5451e+005
781	2.7001e+005
782	8.8989e+006
783	7.7335e+006
784	8.0082e+006
785	7.1002e+006
786	8.3532e+006
787	8.1189e+006
788	7.9023e+006
789	7.7726e+006
790	5.5205e+006
791	4.646e+006
792	3.8769e+006
793	3.5581e+006
794	2.0552e+006
795	1.5651e+006
796	1.164e+005
797	1.3282e+005
798	-4.2525e+005
799	-47710
800	-5.4184e+005
801	37590
802	6.5557e+005
803	1.4882e+006
804	2.2895e+006
805	2.754e+006
806	4.7163e+006
807	4.6328e+006
808	5.1818e+006
809	5.1439e+006
810	6.1265e+006
811	6.1477e+006
812	9.1245e+006
813	6.9363e+006
814	7.5257e+006
815	6.8336e+006
816	-3.1359e+008
817	-3.04e+008
818	-3.7403e+008
819	-3.3829e+008
820	-3.4478e+008
821	-3.7324e+008
822	-3.5733e+008
823	-3.4238e+008
824	-3.3473e+008
825	-2.4137e+008
826	-2.4621e+008
827	-1.8626e+008
828	-1.8984e+008
829	-1.1988e+008
830	-6.0403e+007
831	-3.4325e+007
832	-1.7719e+006
833	3.1333e+007
834	5.5945e+007
835	7.1706e+007
836	9.5921e+007
837	-2.0394e+008
838	-2.198e+008
839	-2.2267e+008
840	-2.207e+008
841	-2.1411e+008
842	-2.2016e+008
843	-2.0356e+008
844	-1.8964e+008
845	-1.696e+008
846	-1.4864e+008
847	-1.2552e+008
848	-1.0101e+008
849	-7.268e+007
850	-4.5148e+007
851	-1.4935e+007
852	1.5037e+007
853	4.5107e+007
854	7.3112e+007
855	9.9136e+007
856	1.2597e+008
857	1.4669e+008
858	6.0345e+007
859	6.6071e+007
860	6.337e+007
861	6.1679e+007
862	5.4717e+007
863	4.5907e+007
864	3.293e+007
865	1.7506e+007
866	-1.6767e+006
867	-2.4788e+007
868	-4.9108e+007
869	-7.5096e+007
870	-1.0071e+008
871	-1.2869e+008
872	-1.5175e+008
873	-2.7617e+007
874	-1.7169e+007
875	-3.2081e+006
876	1.0057e+007
877	2.5756e+007
878	4.2357e+007
879	5.546e+007
880	6.3359e+007
881	7.9254e+007
882	8.6031e+007
883	1.0413e+008
884	1.0054e+008
885	9.5969e+007
886	9.8846e+007
887	8.5889e+007
888	7.183e+007
889	7.5979e+007
890	5.1753e+007
891	2.5563e+007
892	-1.1622e+007
893	-6.386e+007
894	-1.2148e+008
895	-3.2399e+007
896	-8.7095e+006
897	1.9598e+007
898	4.9965e+007
899	7.4746e+007
900	8.9438e+007
901	9.4195e+007
902	9.9923e+007
903	-1.5423e+008
904	7.4463e+007
905	5.8733e+007
906	2.0415e+007
907	-2.7717e+007
908	-8.194e+007
909	9.5594e+007
910	-1.0171e+008
911	1.0095e+008
912	8.9714e+007
913	5.649e+007
914	6.7795e+006
915	-4.3345e+007
916	-9.1382e+007
917	-2.4184e+007
918	5.3189e+006
919	5.3856e+007
920	8.6002e+007
921	1.0109e+008
922	1.0689e+008
923	8.1215e+007
924	4.2249e+007
925	-8.7022e+006
926	-6.1106e+007
927	-2.5623e+007
928	2.6999e+007
929	6.9362e+007
930	9.5422e+007
931	-2.8493e+008
932	-2.7905e+008
933	-3.2094e+008
934	-3.2275e+008
935	-3.2506e+008
936	-2.6005e+008
937	-1.5932e+008
938	-1.2051e+008
939	-3.2362e+007
940	2.8626e+007
941	7.6748e+007
942	9.7455e+007
943	-1.7888e+008
944	-1.8254e+008
945	-1.6819e+008
946	-1.5878e+008
947	-1.3386e+008
948	-9.5668e+007
949	-4.0173e+007
950	7.679e+006
951	5.0902e+007
952	9.9762e+007
953	1.1839e+008
954	-1.8135e+008
955	-2.6768e+008
956	-2.4453e+008
957	-2.1084e+008
958	-1.9063e+008
959	-1.2115e+008
960	-5.549e+007
961	3.8805e+006
962	5.0787e+007
963	-1.8695e+008
964	1.0429e+008
965	-2.1167e+008
966	-2.493e+008
967	-2.3855e+008
968	-2.2476e+008
969	-1.8613e+008
970	-1.4056e+008
971	-8.0978e+007
972	-2.5942e+007
973	3.3484e+007
974	7.03e+007
975	-2.0396e+008
976	-1.9266e+008
977	-1.6773e+008
978	-1.2373e+008
979	-7.4182e+007
980	-2.3744e+007
981	2.8954e+007
982	5.7731e+007
983	8.0799e+007
984	-2.2504e+008
985	-2.3448e+008
