Node Number	Normal Stress (MPa)
402	0.30991
403	0.2215
404	-0.54792
405	-0.58808
406	-0.4081
407	-0.3251
408	-0.28669
409	-0.21793
410	-0.22765
411	-0.143
412	-0.11507
413	-0.14054
414	-7.3214e-002
415	-6.8541e-002
416	2.0298e-002
417	9.2357e-003
418	1.6524e-002
419	4.3864e-002
420	6.089e-002
421	0.16239
422	0.2634
423	0.29302
424	0.33368
425	0.37566
426	0.40132
427	0.43757
428	0.42697
429	0.42594
430	0.61433
431	0.57425
432	0.67076
433	0.43598
434	0.53918
435	0.32548
436	3.7205e-002
437	0.23167
438	-0.32736
439	-0.13763
440	-0.48795
441	-0.27358
442	-4.6218e-002
443	-0.14696
444	-0.12931
445	-5.0059e-002
446	1.7116e-002
447	-1.6278e-002
448	8.1635
449	5.2207
450	3.8988
451	3.6352
452	2.7265
453	3.2564
454	1.9457
455	1.4454
456	1.1297
457	1.1001
458	1.2452
459	1.0934
460	1.0473
461	0.46818
462	0.20053
463	0.11934
464	-6.5241e-002
465	-0.22735
466	-0.45165
467	-0.65546
468	-0.79751
469	-0.96308
470	-1.2249
471	-1.4209
472	-1.656
473	-1.8942
474	-2.1383
475	-2.5055
476	-2.3727
477	-2.53
478	-2.7801
479	-2.9925
480	-3.3213
481	-3.0837
482	2.98
483	0.4864
484	0.32182
485	-0.16468
486	-0.35128
487	-0.11947
488	0.12743
489	0.10647
490	0.11427
491	0.19691
492	0.22171
493	0.23356
494	0.22699
495	0.25105
496	0.3047
497	0.37322
498	0.48584
499	0.38258
500	0.34957
501	0.59882
502	0.36547
503	0.34214
504	0.39019
505	0.59618
506	0.56141
507	0.61801
508	0.4415
509	0.3963
510	0.41673
511	0.44145
512	0.34426
513	0.37747
514	0.24978
515	7.1601e-002
516	1.2788
517	0.85027
518	0.73155
519	0.79936
520	0.8623
521	0.87443
522	0.87984
523	0.93708
524	0.96897
525	0.98426
526	1.0222
527	1.0609
528	1.0624
529	1.0845
530	1.1152
531	1.1094
532	1.1466
533	1.1373
534	1.1334
535	1.1423
536	1.135
537	1.1363
538	1.1272
539	1.1139
540	1.1061
541	1.0866
542	1.07
543	1.0526
544	1.0339
545	1.0091
546	1.0205
547	0.98223
548	0.94913
549	0.96107
550	0.98151
551	-2.2614
552	-1.7826
553	-0.68692
554	-0.1234
555	0.46258
556	0.90126
557	0.73772
558	0.57812
559	0.38329
560	0.17454
561	-19.865
562	-17.921
563	-14.879
564	-10.76
565	-7.6751
566	-5.1813
567	-3.9156
568	-2.7422
569	-2.061
570	-1.5378
571	-1.1039
572	-0.87466
573	-0.65613
574	-0.52918
575	-0.42388
576	-0.27903
577	-0.20235
578	-0.1792
579	-0.15197
580	-0.11214
581	-8.1723e-002
582	-8.0139e-002
583	-8.6754e-002
584	-9.5799e-002
585	-0.12202
586	-0.18207
587	-0.18434
588	-0.29051
589	-0.40326
590	-0.55871
591	-0.77226
592	-1.0668
593	-1.5052
594	-1.7959
595	-2.1924
596	0.94617
597	1.6832
598	1.2183
599	0.97052
600	1.3667
601	2.0278
602	3.606
603	5.9708
604	5.3926
605	3.4631
606	-0.43555
607	-7.9434
608	-16.298
609	-0.18039
610	-0.22066
611	-0.39557
612	-0.51867
613	-0.64879
614	-0.63855
615	-0.70311
616	-0.70856
617	-0.612
618	-0.60889
619	-0.64674
620	-0.5987
621	-0.44056
622	-0.45962
623	-0.40649
624	-0.27766
625	-0.23652
626	-0.1832
627	-0.30063
628	-1.0399e-002
629	-2.1542e-002
630	7.6439e-002
631	-0.12496
632	-0.10622
633	-4.0082e-002
634	9.3049e-002
635	8.8826e-002
636	0.30599
637	0.17761
638	0.16654
639	0.31936
640	0.38785
641	0.43348
642	0.56414
643	1.3821
644	1.7503
645	2.1051
646	2.4178
647	2.2547
648	1.9811
649	1.4612
650	0.97752
651	0.40064
652	2.7267e-002
653	-0.35484
654	-0.32214
655	-0.27617
656	1.4479
657	0.71211
658	-0.13381
659	-0.46559
660	-0.8161
661	-1.066
662	-1.5325
663	-1.8182
664	-2.4551
665	-1.7919
666	0.68833
667	-0.14001
668	-1.0545
669	-1.8104
670	0.95143
671	1.7511
672	0.82011
673	1.9617
674	4.7616
675	4.7258
676	5.0966
677	4.982
678	3.6356
679	5.5956
680	6.0557
681	4.0001
682	4.193
683	4.5111
684	4.1773
685	4.3221
686	4.0452
687	3.566
688	3.3712
689	3.3941
690	4.1431
691	3.4973
692	3.0214
693	3.3245
694	3.3073
695	2.9441
696	2.9928
697	2.7157
698	3.0625
699	2.5372
700	2.626
701	2.4792
702	2.1882
703	2.1921
704	1.865
705	-15.617
706	-17.485
707	-18.135
708	-19.459
709	-5.5917
710	-7.1221
711	-7.6229
712	-8.1247
713	-8.3948
714	-7.1401
715	-6.93
716	-2.862
717	-3.6817
718	-1.0072
719	4.9857e-002
720	-0.13147
721	-1.8714
722	1.7292
723	2.1516
724	2.5124
725	2.9388
726	1.057
727	1.5713
728	1.8704
729	1.9829
730	2.5418
731	2.2985
732	3.5422
733	3.6715
734	4.1289
735	3.2925
736	3.3894
737	3.2854
738	2.9675
739	2.6348
740	3.2494
741	3.0401
742	2.7016
743	3.012
744	2.7638
745	2.3702
746	2.5116
747	2.6392
748	1.8591
749	1.0545
750	1.1168
751	0.61313
752	0.65019
753	1.6484e-003
754	-0.78083
755	-1.1275
756	-1.7381
757	-3.2745
758	-3.318
759	-5.1126
760	-4.6481
761	-0.21349
762	-0.31539
763	-0.3524
764	-0.47544
765	-0.27206
766	-0.22539
767	-0.34375
768	-0.24671
769	-0.30441
770	-0.20484
771	-0.20191
772	-0.18105
773	-0.10756
774	-0.12996
775	0.13154
776	0.40069
777	0.62452
778	0.36542
779	0.52529
780	0.72181
781	0.92309
782	-1.898
783	-1.8028
784	-1.4763
785	-1.4007
786	-1.2985
787	-1.216
788	-1.3886
789	-0.98033
790	-0.8296
791	-0.80917
792	-0.60595
793	-0.55205
794	-0.5397
795	-0.46411
796	-0.41861
797	-0.50164
798	-0.3656
799	-0.44999
800	-0.35739
801	-0.34416
802	-0.32721
803	-0.30841
804	-0.27549
805	-0.2586
806	-0.26496
807	-0.24332
808	-0.23088
809	-0.2518
810	-0.18218
811	-0.23502
812	-0.31092
813	-0.25547
814	-0.2342
815	-0.24014
816	0.96842
817	0.55048
818	0.35699
819	0.28426
820	0.47796
821	0.96975
822	1.6158
823	2.9582
824	3.7283
825	3.8962
826	3.97
827	3.9704
828	3.9848
829	3.0152
830	2.0825
831	1.6905
832	1.4283
833	1.284
834	1.1754
835	1.1322
836	1.1785
837	5.9587e-002
838	-0.10161
839	-0.38714
840	-0.71173
841	-0.78125
842	-0.65205
843	-0.23585
844	0.22769
845	0.81357
846	1.3103
847	1.4704
848	1.5662
849	1.2499
850	0.73534
851	0.27612
852	-0.1406
