Node,X,Y
       96., -0.35000000E-02,  0.00000000E+00,  0.30000000E-02
       97.,  0.11660254E-01, -0.50000000E-02,  0.25000000E-02
       98.,  0.11258330E-01, -0.35000000E-02,  0.25000000E-02
       99.,  0.11634589E-01, -0.46084214E-02,  0.25000000E-02
      100.,  0.11558032E-01, -0.42235429E-02,  0.25000000E-02
      101.,  0.11431893E-01, -0.38519497E-02,  0.25000000E-02
      102.,  0.11660254E-01, -0.50000000E-02,  0.50000000E-02
      103.,  0.11660254E-01, -0.50000000E-02,  0.30000000E-02
      104.,  0.11660254E-01, -0.50000000E-02,  0.35000000E-02
      105.,  0.11660254E-01, -0.50000000E-02,  0.40000000E-02
      106.,  0.11660254E-01, -0.50000000E-02,  0.45000000E-02
      107.,  0.11258330E-01, -0.35000000E-02,  0.50000000E-02
      108.,  0.11634589E-01, -0.46084214E-02,  0.50000000E-02
      109.,  0.11558032E-01, -0.42235429E-02,  0.50000000E-02
      110.,  0.11431893E-01, -0.38519497E-02,  0.50000000E-02
      111.,  0.11258330E-01, -0.35000000E-02,  0.30000000E-02
      112.,  0.11258330E-01, -0.35000000E-02,  0.35000000E-02
      113.,  0.11258330E-01, -0.35000000E-02,  0.40000000E-02
      114.,  0.11258330E-01, -0.35000000E-02,  0.45000000E-02
      115., -0.13660254E-01, -0.50000000E-02,  0.50000000E-02
      116., -0.86602540E-02, -0.10000000E-01,  0.50000000E-02
      117., -0.13636178E-01, -0.54900857E-02,  0.50000000E-02
      118., -0.13564180E-01, -0.59754516E-02,  0.50000000E-02
      119., -0.13444956E-01, -0.64514234E-02,  0.50000000E-02
      120., -0.13279652E-01, -0.69134172E-02,  0.50000000E-02
      121., -0.13069860E-01, -0.73569837E-02,  0.50000000E-02
      122., -0.12817602E-01, -0.77778512E-02,  0.50000000E-02
      123., -0.12525306E-01, -0.81719664E-02,  0.50000000E-02
      124., -0.12195788E-01, -0.85355339E-02,  0.50000000E-02
      125., -0.11832220E-01, -0.88650523E-02,  0.50000000E-02
      126., -0.11438105E-01, -0.91573481E-02,  0.50000000E-02
      127., -0.11017238E-01, -0.94096063E-02,  0.50000000E-02
      128., -0.10573671E-01, -0.96193977E-02,  0.50000000E-02
      129., -0.10111677E-01, -0.97847017E-02,  0.50000000E-02
      130., -0.96357056E-02, -0.99039264E-02,  0.50000000E-02
      131., -0.91503397E-02, -0.99759236E-02,  0.50000000E-02
      132., -0.13660254E-01, -0.50000000E-02,  0.00000000E+00
      133., -0.13660254E-01, -0.50000000E-02,  0.45000000E-02
      134., -0.13660254E-01, -0.50000000E-02,  0.40000000E-02
      135., -0.13660254E-01, -0.50000000E-02,  0.35000000E-02
      136., -0.13660254E-01, -0.50000000E-02,  0.30000000E-02
      137., -0.13660254E-01, -0.50000000E-02,  0.25000000E-02
      138., -0.13660254E-01, -0.50000000E-02,  0.20000000E-02
      139., -0.13660254E-01, -0.50000000E-02,  0.15000000E-02
      140., -0.13660254E-01, -0.50000000E-02,  0.10000000E-02
      141., -0.13660254E-01, -0.50000000E-02,  0.50000000E-03
      142., -0.86602540E-02, -0.10000000E-01,  0.00000000E+00
      143., -0.13636178E-01, -0.54900857E-02,  0.00000000E+00
      144., -0.13564180E-01, -0.59754516E-02,  0.00000000E+00
      145., -0.13444956E-01, -0.64514234E-02,  0.00000000E+00
      146., -0.13279652E-01, -0.69134172E-02,  0.00000000E+00
      147., -0.13069860E-01, -0.73569837E-02,  0.00000000E+00
      148., -0.12817602E-01, -0.77778512E-02,  0.00000000E+00
      149., -0.12525306E-01, -0.81719664E-02,  0.00000000E+00
      150., -0.12195788E-01, -0.85355339E-02,  0.00000000E+00
      151., -0.11832220E-01, -0.88650523E-02,  0.00000000E+00
      152., -0.11438105E-01, -0.91573481E-02,  0.00000000E+00
      153., -0.11017238E-01, -0.94096063E-02,  0.00000000E+00
      154., -0.10573671E-01, -0.96193977E-02,  0.00000000E+00
      155., -0.10111677E-01, -0.97847017E-02,  0.00000000E+00
      156., -0.96357056E-02, -0.99039264E-02,  0.00000000E+00
      157., -0.91503397E-02, -0.99759236E-02,  0.00000000E+00
      158., -0.86602540E-02, -0.10000000E-01,  0.45000000E-02
      159., -0.86602540E-02, -0.10000000E-01,  0.40000000E-02
      160., -0.86602540E-02, -0.10000000E-01,  0.35000000E-02
      161., -0.86602540E-02, -0.10000000E-01,  0.30000000E-02
      162., -0.86602540E-02, -0.10000000E-01,  0.25000000E-02
      163., -0.86602540E-02, -0.10000000E-01,  0.20000000E-02
      164., -0.86602540E-02, -0.10000000E-01,  0.15000000E-02
      165., -0.86602540E-02, -0.10000000E-01,  0.10000000E-02
      166., -0.86602540E-02, -0.10000000E-01,  0.50000000E-03
      167.,  0.86602540E-02, -0.10000000E-01,  0.00000000E+00
      168.,  0.12990381E-01, -0.25000000E-02,  0.00000000E+00
      169.,  0.91580933E-02, -0.99751539E-02,  0.00000000E+00
      170.,  0.96509848E-02, -0.99008624E-02,  0.00000000E+00
      171.,  0.10134030E-01, -0.97778640E-02,  0.00000000E+00
      172.,  0.10602428E-01, -0.96073811E-02,  0.00000000E+00
      173.,  0.11051524E-01, -0.93911079E-02,  0.00000000E+00
      174.,  0.11476854E-01, -0.91311939E-02,  0.00000000E+00
      175.,  0.11874192E-01, -0.88302222E-02,  0.00000000E+00
      176.,  0.12239588E-01, -0.84911841E-02,  0.00000000E+00
      177.,  0.12569411E-01, -0.81174490E-02,  0.00000000E+00
      178.,  0.12860384E-01, -0.77127313E-02,  0.00000000E+00
      179.,  0.13109613E-01, -0.72810533E-02,  0.00000000E+00
      180.,  0.13314623E-01, -0.68267051E-02,  0.00000000E+00
      181.,  0.13473375E-01, -0.63542023E-02,  0.00000000E+00
      182.,  0.13584293E-01, -0.58682409E-02,  0.00000000E+00
      183.,  0.13646273E-01, -0.53736505E-02,  0.00000000E+00
      184.,  0.13658700E-01, -0.48753465E-02,  0.00000000E+00
      185.,  0.13621450E-01, -0.43782815E-02,  0.00000000E+00
      186.,  0.13534894E-01, -0.38873953E-02,  0.00000000E+00
      187.,  0.13399891E-01, -0.34075667E-02,  0.00000000E+00
      188.,  0.13217783E-01, -0.29435645E-02,  0.00000000E+00
      189.,  0.12990381E-01, -0.25000000E-02,  0.50000000E-02
      190.,  0.12990381E-01, -0.25000000E-02,  0.45000000E-02
      191.,  0.12990381E-01, -0.25000000E-02,  0.40000000E-02
      192.,  0.12990381E-01, -0.25000000E-02,  0.35000000E-02
      193.,  0.12990381E-01, -0.25000000E-02,  0.30000000E-02
      194.,  0.12990381E-01, -0.25000000E-02,  0.25000000E-02
      195.,  0.12990381E-01, -0.25000000E-02,  0.20000000E-02
      196.,  0.12990381E-01, -0.25000000E-02,  0.15000000E-02
      197.,  0.12990381E-01, -0.25000000E-02,  0.10000000E-02
      198.,  0.12990381E-01, -0.25000000E-02,  0.50000000E-03
      199.,  0.86602540E-02, -0.10000000E-01,  0.50000000E-02
      200.,  0.91580933E-02, -0.99751539E-02,  0.50000000E-02
      201.,  0.96509848E-02, -0.99008624E-02,  0.50000000E-02
      202.,  0.10134030E-01, -0.97778640E-02,  0.50000000E-02
      203.,  0.10602428E-01, -0.96073811E-02,  0.50000000E-02
      204.,  0.11051524E-01, -0.93911079E-02,  0.50000000E-02
      205.,  0.11476854E-01, -0.91311939E-02,  0.50000000E-02
      206.,  0.11874192E-01, -0.88302222E-02,  0.50000000E-02
      207.,  0.12239588E-01, -0.84911841E-02,  0.50000000E-02
      208.,  0.12569411E-01, -0.81174490E-02,  0.50000000E-02
      209.,  0.12860384E-01, -0.77127313E-02,  0.50000000E-02
      210.,  0.13109613E-01, -0.72810533E-02,  0.50000000E-02
      211.,  0.13314623E-01, -0.68267051E-02,  0.50000000E-02
      212.,  0.13473375E-01, -0.63542023E-02,  0.50000000E-02
      213.,  0.13584293E-01, -0.58682409E-02,  0.50000000E-02
      214.,  0.13646273E-01, -0.53736505E-02,  0.50000000E-02
      215.,  0.13658700E-01, -0.48753465E-02,  0.50000000E-02
