Node,X,Y
       95.,  0.17101007E-02,  0.14698463E-01,  0.00000000E+00
       96.,  0.19032990E-17,  0.15000000E-01,  0.00000000E+00
       97., -0.17101007E-02,  0.14698463E-01,  0.00000000E+00
       98., -0.32139380E-02,  0.13830222E-01,  0.00000000E+00
       99., -0.43301270E-02,  0.12500000E-01,  0.50000000E-02
      100., -0.43301270E-02,  0.12500000E-01,  0.33333333E-02
      101., -0.43301270E-02,  0.12500000E-01,  0.16666667E-02
      102.,  0.32139380E-02,  0.13830222E-01,  0.50000000E-02
      103.,  0.17101007E-02,  0.14698463E-01,  0.50000000E-02
      104.,  0.19032990E-17,  0.15000000E-01,  0.50000000E-02
      105., -0.17101007E-02,  0.14698463E-01,  0.50000000E-02
      106., -0.32139380E-02,  0.13830222E-01,  0.50000000E-02
      107., -0.12990381E-01, -0.25000000E-02,  0.00000000E+00
      108., -0.51961524E-02,  0.11000000E-01,  0.00000000E+00
      109., -0.60621778E-02,  0.95000000E-02,  0.00000000E+00
      110., -0.69282032E-02,  0.80000000E-02,  0.00000000E+00
      111., -0.77942286E-02,  0.65000000E-02,  0.00000000E+00
      112., -0.86602540E-02,  0.50000000E-02,  0.00000000E+00
      113., -0.95262794E-02,  0.35000000E-02,  0.00000000E+00
      114., -0.10392305E-01,  0.20000000E-02,  0.00000000E+00
      115., -0.11258330E-01,  0.50000000E-03,  0.00000000E+00
      116., -0.12124356E-01, -0.10000000E-02,  0.00000000E+00
      117., -0.12990381E-01, -0.25000000E-02,  0.50000000E-02
      118., -0.12990381E-01, -0.25000000E-02,  0.33333333E-02
      119., -0.12990381E-01, -0.25000000E-02,  0.16666667E-02
      120., -0.51961524E-02,  0.11000000E-01,  0.50000000E-02
      121., -0.60621778E-02,  0.95000000E-02,  0.50000000E-02
      122., -0.69282032E-02,  0.80000000E-02,  0.50000000E-02
      123., -0.77942286E-02,  0.65000000E-02,  0.50000000E-02
      124., -0.86602540E-02,  0.50000000E-02,  0.50000000E-02
      125., -0.95262794E-02,  0.35000000E-02,  0.50000000E-02
      126., -0.10392305E-01,  0.20000000E-02,  0.50000000E-02
      127., -0.11258330E-01,  0.50000000E-03,  0.50000000E-02
      128., -0.12124356E-01, -0.10000000E-02,  0.50000000E-02
      129., -0.13489883E-01, -0.37059048E-02,  0.50000000E-02
      130., -0.13489883E-01, -0.37059048E-02,  0.00000000E+00
      131., -0.69282032E-02, -0.10000000E-01,  0.00000000E+00
      132., -0.51961524E-02, -0.10000000E-01,  0.00000000E+00
      133., -0.34641016E-02, -0.10000000E-01,  0.00000000E+00
      134., -0.17320508E-02, -0.10000000E-01,  0.00000000E+00
      135.,  0.31086245E-17, -0.10000000E-01,  0.00000000E+00
      136.,  0.17320508E-02, -0.10000000E-01,  0.00000000E+00
      137.,  0.34641016E-02, -0.10000000E-01,  0.00000000E+00
      138.,  0.51961524E-02, -0.10000000E-01,  0.00000000E+00
      139.,  0.69282032E-02, -0.10000000E-01,  0.00000000E+00
      140., -0.69282032E-02, -0.10000000E-01,  0.50000000E-02
      141., -0.51961524E-02, -0.10000000E-01,  0.50000000E-02
      142., -0.34641016E-02, -0.10000000E-01,  0.50000000E-02
      143., -0.17320508E-02, -0.10000000E-01,  0.50000000E-02
      144.,  0.31086245E-17, -0.10000000E-01,  0.50000000E-02
      145.,  0.17320508E-02, -0.10000000E-01,  0.50000000E-02
      146.,  0.34641016E-02, -0.10000000E-01,  0.50000000E-02
      147.,  0.51961524E-02, -0.10000000E-01,  0.50000000E-02
      148.,  0.69282032E-02, -0.10000000E-01,  0.50000000E-02
      149.,  0.25980762E-02,  0.11500000E-01,  0.50000000E-02
      150.,  0.10392305E-01, -0.20000000E-02,  0.50000000E-02
      151.,  0.95262794E-02, -0.50000000E-03,  0.50000000E-02
      152.,  0.86602540E-02,  0.10000000E-02,  0.50000000E-02
      153.,  0.77942286E-02,  0.25000000E-02,  0.50000000E-02
      154.,  0.69282032E-02,  0.40000000E-02,  0.50000000E-02
      155.,  0.60621778E-02,  0.55000000E-02,  0.50000000E-02
      156.,  0.51961524E-02,  0.70000000E-02,  0.50000000E-02
      157.,  0.43301270E-02,  0.85000000E-02,  0.50000000E-02
      158.,  0.34641016E-02,  0.10000000E-01,  0.50000000E-02
      159.,  0.86602540E-02, -0.80000000E-02,  0.50000000E-02
      160.,  0.10160254E-01, -0.75980762E-02,  0.50000000E-02
      161.,  0.11258330E-01, -0.65000000E-02,  0.50000000E-02
      162., -0.86602540E-02, -0.80000000E-02,  0.50000000E-02
      163., -0.69282032E-02, -0.80000000E-02,  0.50000000E-02
      164., -0.51961524E-02, -0.80000000E-02,  0.50000000E-02
      165., -0.34641016E-02, -0.80000000E-02,  0.50000000E-02
      166., -0.17320508E-02, -0.80000000E-02,  0.50000000E-02
      167.,  0.31086245E-17, -0.80000000E-02,  0.50000000E-02
      168.,  0.17320508E-02, -0.80000000E-02,  0.50000000E-02
      169.,  0.34641016E-02, -0.80000000E-02,  0.50000000E-02
      170.,  0.51961524E-02, -0.80000000E-02,  0.50000000E-02
      171.,  0.69282032E-02, -0.80000000E-02,  0.50000000E-02
      172., -0.11258330E-01, -0.35000000E-02,  0.50000000E-02
      173., -0.11660254E-01, -0.50000000E-02,  0.50000000E-02
      174., -0.11258330E-01, -0.65000000E-02,  0.50000000E-02
      175., -0.10160254E-01, -0.75980762E-02,  0.50000000E-02
      176., -0.25980762E-02,  0.11500000E-01,  0.50000000E-02
      177., -0.34641016E-02,  0.10000000E-01,  0.50000000E-02
      178., -0.43301270E-02,  0.85000000E-02,  0.50000000E-02
      179., -0.51961524E-02,  0.70000000E-02,  0.50000000E-02
      180., -0.60621778E-02,  0.55000000E-02,  0.50000000E-02
      181., -0.69282032E-02,  0.40000000E-02,  0.50000000E-02
      182., -0.77942286E-02,  0.25000000E-02,  0.50000000E-02
      183., -0.86602540E-02,  0.10000000E-02,  0.50000000E-02
      184., -0.95262794E-02, -0.50000000E-03,  0.50000000E-02
      185., -0.10392305E-01, -0.20000000E-02,  0.50000000E-02
      186.,  0.15000000E-02,  0.12598076E-01,  0.50000000E-02
      187.,  0.14781886E-16,  0.13000000E-01,  0.50000000E-02
      188., -0.15000000E-02,  0.12598076E-01,  0.50000000E-02
      189.,  0.86602540E-02, -0.80000000E-02,  0.25000000E-02
