方案,A_mm,B_mm,C_C,D_mm_s,DataType,DeltaT,DeltaB,DeltaS,Std_DeltaT,Std_DeltaB,Std_DeltaS,CompromiseScore_100
论文方案,0.25,0.2,180.0,45.0,论文真实实验数据,61.37,35.41,13.73,,,,53.7035386418611
SATC推荐方案,0.15,0.15,180.0,35.0,论文真实实验数据,39.36,29.21,30.19,0.21787260052670723,0.21553534376149444,0.43823329550537343,96.58
