Experiment,A,B,C,D,Real_DeltaT,Pred_DeltaT,Std_DeltaT,Real_DeltaB,Pred_DeltaB,Std_DeltaB,Real_DeltaS,Pred_DeltaS,Std_DeltaS
1,0.15,0.15,180.0,35.0,39.36,53.81737199824009,5.56982520792216,29.21,38.12037102704439,6.4735231858104765,30.19,22.988710066269107,14.303254424916139
2,0.15,0.2,200.0,40.0,56.25,49.64096311540209,6.862144649083806,30.96,36.21709845609892,6.525128342426563,49.83,21.346426634480306,9.856226658998503
3,0.15,0.25,220.0,45.0,41.83,53.55082503401234,6.231895096995264,32.58,37.7567016871871,6.949424854375877,39.52,21.981874772242836,13.048754086198668
4,0.2,0.15,200.0,45.0,54.46,52.913894588851875,7.1170927514049005,36.66,37.864300330927364,7.090971880593435,12.95,23.118317596642267,14.075494987894777
5,0.2,0.2,220.0,35.0,51.8,52.17673284767556,7.177849259012964,44.05,38.88768051921272,6.703125669722899,18.24,22.463701041830685,14.382242640528087
6,0.2,0.25,180.0,40.0,58.92,52.92594517796528,6.700193454318181,34.23,38.30525368498796,6.986177343716972,10.05,23.56980692163236,13.78821296522493
7,0.25,0.15,220.0,40.0,50.18,52.29079514820829,7.21000251405655,46.87,37.365228079612955,6.297147972573605,9.26,21.384300280838552,13.811014074269
8,0.25,0.2,180.0,45.0,61.37,51.85905417668507,6.3330465095114565,35.41,37.55634339474564,7.111449514559411,13.73,20.116174403185777,14.258312554555339
9,0.25,0.25,200.0,35.0,53.16,52.43040394327611,7.2245492114107,49.19,36.887844701373055,5.74772648797119,11.37,20.881617692555302,14.048386978891285
